Order;Lot Area;Street;Neighborhood;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add;1st Flr over Lot Area;1st Flr SF;Mo Sold;Yr Sold;Sale Type;Sale Condition;SalePrice
1;31770;Pave;NAmes;1Fam;1Story;6;5;1960;1960;0,05;1656;5;2010;WD ;Normal;215000
2;11622;Pave;NAmes;1Fam;1Story;5;6;1961;1961;0,08;896;6;2010;WD ;Normal;105000
3;14267;Pave;NAmes;1Fam;1Story;6;6;1958;1958;0,09;1329;6;2010;WD ;Normal;172000
4;11160;Pave;NAmes;1Fam;1Story;7;5;1968;1968;0,19;2110;4;2010;WD ;Normal;244000
5;13830;Pave;Gilbert;1Fam;2Story;5;5;1997;1998;0,07;928;3;2010;WD ;Normal;189900
6;9978;Pave;Gilbert;1Fam;2Story;6;6;1998;1998;0,09;926;6;2010;WD ;Normal;195500
7;4920;Pave;StoneBr;TwnhsE;1Story;8;5;2001;2001;0,27;1338;4;2010;WD ;Normal;213500
8;5005;Pave;StoneBr;TwnhsE;1Story;8;5;1992;1992;0,26;1280;1;2010;WD ;Normal;191500
9;5389;Pave;StoneBr;TwnhsE;1Story;8;5;1995;1996;0,3;1616;3;2010;WD ;Normal;236500
10;7500;Pave;Gilbert;1Fam;2Story;7;5;1999;1999;0,14;1028;6;2010;WD ;Normal;189000
11;10000;Pave;Gilbert;1Fam;2Story;6;5;1993;1994;0,08;763;4;2010;WD ;Normal;175900
12;7980;Pave;Gilbert;1Fam;1Story;6;7;1992;2007;0,15;1187;3;2010;WD ;Normal;185000
13;8402;Pave;Gilbert;1Fam;2Story;6;5;1998;1998;0,09;789;5;2010;WD ;Normal;180400
14;10176;Pave;Gilbert;1Fam;1Story;7;5;1990;1990;0,13;1341;2;2010;WD ;Normal;171500
15;6820;Pave;StoneBr;TwnhsE;1Story;8;5;1985;1985;0,22;1502;6;2010;WD ;Normal;212000
16;53504;Pave;StoneBr;1Fam;2Story;8;5;2003;2003;0,03;1690;6;2010;WD ;Normal;538000
16;53504;Pave;StoneBr;1Fam;2Story;8;5;2003;2003;0,03;1690;6;2010;WD ;Normal;538000
17;12134;Pave;Gilbert;1Fam;1.5Fin;8;7;1988;2005;0,09;1080;6;2010;WD ;Normal;164000
18;11394;Pave;StoneBr;1Fam;1Story;9;2;2010;2010;0,16;1856;6;2010;New;Partial;394432
19;19138;Pave;Gilbert;1Fam;1Story;4;5;1951;1951;0,05;864;6;2010;WD ;Normal;141000
20;13175;Pave;NWAmes;1Fam;1Story;6;6;1978;1988;0,16;2073;2;2010;WD ;Normal;210000
21;11751;Pave;NWAmes;1Fam;1Story;6;6;1977;1977;0,16;1844;1;2010;COD;Normal;190000
22;10625;Pave;NWAmes;1Fam;SFoyer;7;6;1974;1974;0,11;1173;1;2010;WD ;Family;170000
23;7500;Pave;Somerst;1Fam;2Story;7;5;2000;2000;0,11;814;1;2010;WD ;Normal;216000
24;11241;Pave;NAmes;1Fam;1Story;6;7;1970;1970;0,09;1004;3;2010;WD ;Normal;149000
25;12537;Pave;NAmes;1Fam;1Story;5;6;1971;2008;0,09;1078;4;2010;WD ;Normal;149900
26;8450;Pave;NAmes;1Fam;1Story;5;6;1968;1968;0,12;1056;7;2010;WD ;Normal;142000
27;8400;Pave;NAmes;1Fam;1Story;4;5;1970;1970;0,11;882;4;2010;WD ;Normal;126000
28;10500;Pave;NAmes;1Fam;1Story;4;5;1971;1971;0,08;864;4;2010;ConLI;Normal;115000
29;5858;Pave;NAmes;TwnhsE;1Story;7;5;1999;1999;0,23;1337;6;2010;WD ;Normal;184000
30;1680;Pave;BrDale;Twnhs;2Story;6;5;1971;1971;0,29;483;2;2010;COD;Normal;96000
31;1680;Pave;BrDale;Twnhs;2Story;5;5;1971;1971;0,31;525;3;2010;WD ;Normal;105500
